"","date","SO2_1","CO_6","NO_7","NO2_8","PM2.5_9","PM10_10","O3_14","TOL_20","BEN_30","EBE_35","TCH_42","NMHC_44","temp_avg","temp_max","temp_min","precipitation","humidity","wind_avg_speed"
"583",2011-02-09,15.3583333333333,0.73875,108.601739130435,97.2208695652174,24.4027777777778,46.3194444444444,13.4553571428571,7.71363636363636,1.89428571428571,2.43214285714286,1.53333333333333,0.3115,5.8,15,-1.4,0,70,4.8
"655",2011-02-10,14.6166666666667,0.695416666666667,93.1254355400697,89.9703832752613,21.3706293706294,40.390243902439,16.0059701492537,5.78472222222222,1.7625,1.87291666666667,1.43791666666667,0.249916666666667,6.3,15.6,-1.3,0,67,4.8
"727",2011-02-11,13.8166666666667,0.64625,88.9352014010508,85.4640980735552,23.3741007194245,41.4452296819788,18.3988095238095,5.64236111111111,1.57222222222222,1.90699300699301,1.42533333333333,0.24275,6.2,14.3,-1,0,69,6.3
"799",2011-02-12,11.2583333333333,0.471666666666667,45.3055555555556,58.65625,18.875,31.1770833333333,26.202380952381,3.51041666666667,1.06388888888889,1.08680555555556,1.40475,0.219333333333333,6.7,14.8,-1,0,70,6.9
"871",2011-02-13,8.15833333333333,0.31125,11.5069444444444,36.4722222222222,8.13888888888889,16.2986111111111,37.8541666666667,1.44791666666667,0.573611111111111,0.581944444444444,1.38233333333333,0.190666666666667,6.7,12,0,0,76,14.1
"943",2011-02-14,7.525,0.289583333333333,11.4288194444444,28.5243055555556,5.18055555555556,10.59375,52.4970238095238,1.2863309352518,0.550359712230216,0.541726618705036,1.23316666666667,0.17075,6.6,9.1,3.1,0.76,61,22.4
"1015",2011-02-15,7.44957983193277,0.339330543933054,21.0243055555556,47.7048611111111,6.27083333333333,8.73611111111111,32.6119402985075,1.90567375886525,0.675177304964539,0.658156028368794,1.29408333333333,0.18,6.6,10,4.8,0.25,89,12
"1087",2011-02-16,6.76150627615063,0.292857142857143,13.5287958115183,38.7347294938918,5.13194444444444,8.60489510489511,43.7018072289157,2.01111111111111,0.618055555555556,0.65625,1.27325,0.178,5.5,8.7,2,4.83,85,21.1
"1159",2011-02-17,7.1875,0.30375,12.6284722222222,33.59375,6.88194444444444,11.8506944444444,58.310447761194,2.12642857142857,0.76,0.759285714285714,1.24974789915966,0.177310924369748,6.7,10.5,3.5,5.08,70,23.7
"1231",2011-02-18,8.59414225941423,0.422916666666667,42.4069565217391,58.8608695652174,11.25,20.9965277777778,31.5238095238095,3.16785714285714,0.922377622377622,0.935664335664336,1.36933333333333,0.211583333333333,6.7,13.2,-0.5,0.25,73,7.6
"1303",2011-02-19,7.2875,0.361666666666667,20.0086805555556,50.1961805555556,9.01398601398601,13.5243055555556,19.2053571428571,2.22302158273381,0.797841726618705,0.72158273381295,1.51183333333333,0.199666666666667,8.1,10,5.7,0,92,7
"1375",2011-02-20,7.025,0.28875,10.0503472222222,30.703125,6.88888888888889,9.83680555555556,38.1619937694704,1.40166666666667,0.640833333333333,0.629166666666667,1.3005,0.176833333333333,9.4,15,6,0,79,8.3
"1447",2011-02-21,7.18410041841004,0.28,10.6869565217391,27.2278260869565,6.92253521126761,13.8118466898955,54.7846153846154,1.64925373134328,0.635074626865672,0.608208955223881,1.27591666666667,0.17125,10.3,13.4,4.8,0.25,63,18.3
"1519",2011-02-22,7.33333333333333,0.302521008403361,13.434554973822,31.8638743455497,7.24647887323944,12.3006993006993,50.5299401197605,2.3695652173913,0.665217391304348,0.697826086956522,1.27135593220339,0.173898305084746,13.5,16,9.2,0,59,19.6
"1591",2011-02-23,10.2166666666667,0.48375,50.4372822299652,66.1202090592334,14.2291666666667,24.2916666666667,27.0746268656716,4.29027777777778,1.07847222222222,1.28888888888889,1.40747899159664,0.213109243697479,12.2,19.3,5.4,0,59,4.6
"1663",2011-02-24,10.1932773109244,0.447698744769874,44.4558303886926,60.5494699646643,11.7708333333333,21.2118055555556,19.8392857142857,4.15902777777778,0.9625,0.999305555555556,1.35991666666667,0.209833333333333,11.2,20,2.7,0,62,6.5
"1735",2011-02-25,11.1715481171548,0.559745762711864,73.7964912280702,74.9842105263158,16.1736111111111,30.2951388888889,15.5446428571429,5.63928571428571,1.26714285714286,1.605,1.45398305084746,0.255254237288136,11.6,21.9,2,0,57,4.1
"1807",2011-02-26,11.4810126582278,0.557322175732218,79.0711805555556,69.3993055555556,18.2777777777778,30.8402777777778,23.0684523809524,7.24677419354839,1.63709677419355,2.15121951219512,1.68708333333333,0.277083333333333,12.1,21,3.6,0,58,5.6
"1879",2011-02-27,7.725,0.27125,7.25868055555556,20.9427083333333,4.25694444444444,9.03472222222222,58.3809523809524,1.39305555555556,0.393055555555556,0.466666666666667,1.32325,0.177083333333333,9.3,12.8,5.2,0,50,19.3
"1951",2011-02-28,6.94583333333333,0.269327731092437,10.969696969697,29.6541889483066,5.27777777777778,10.34375,56.3452380952381,1.91736111111111,0.567361111111111,0.529166666666667,1.34541666666667,0.19,5.7,10.7,-0.3,0,53,24.1
"13",2011-03-01,7.15416666666667,0.298333333333333,10.0664335664336,28.0524475524476,6.10416666666667,9.24652777777778,57.7395209580838,1.96597222222222,0.738194444444444,0.515277777777778,1.35725,0.193,5.2,10,1.3,0.25,54,21.9
"85",2011-03-02,8.34583333333333,0.382083333333333,16.5741710296684,40.0959860383944,10.4375,14.9512195121951,46.7724550898204,2.43680555555556,1.05763888888889,0.727777777777778,1.38358333333333,0.199583333333333,5.7,8.1,3,0,59,15.7
"157",2011-03-03,8.77916666666667,0.422083333333333,25.0607638888889,47.046875,13.3402777777778,19.2926829268293,38.6426426426426,2.29571428571429,1.02857142857143,0.642857142857143,1.425,0.2155,2.7,8.2,-1.8,0,73,8.3
"229",2011-03-04,7.97916666666667,0.402100840336134,17.5052264808362,51.2491289198606,11.0486111111111,13.1284722222222,37.4672619047619,2.23472222222222,1.09861111111111,0.715972222222222,1.40041666666667,0.203166666666667,3,6,0.5,0.51,92,8
"301",2011-03-05,8.81666666666667,0.395,14.6076388888889,42.6163194444444,8.0979020979021,12.1777003484321,51.1339285714286,1.52083333333333,0.886111111111111,0.615384615384615,1.38858333333333,0.191166666666667,6.8,12.2,1.6,8.89,73,5.6
